"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"7426","pastry","semi-finished bread","candy","cookware"
"7427","tropical fruit","root vegetables","other vegetables","whole milk"
"7428","yogurt","soft cheese","domestic eggs","rolls/buns"
"7429","margarine","mustard","bottled water",""
"7430","pip fruit","yogurt","",""
"7431","rolls/buns","shopping bags","",""
"7432","root vegetables","","",""
"7433","tropical fruit","berries","whipped/sour cream","rolls/buns"
"7434","pickled vegetables","coffee","soda","long life bakery product"
"7435","whipped/sour cream","pastry","bottled water",""
"7436","sausage","hamburger meat","citrus fruit","whole milk"
"7437","yogurt","white bread","",""
"7438","frankfurter","sausage","rolls/buns","soda"
"7439","liquor","shopping bags","",""
"7440","meat","root vegetables","other vegetables","whipped/sour cream"
"7441","frozen meals","ice cream","",""
"7442","whole milk","canned beer","",""
"7443","chicken","pork","tropical fruit","whipped/sour cream"
"7444","oil","coffee","soda","shopping bags"
"7445","long life bakery product","house keeping products","",""
"7446","cream cheese ","oil","canned beer","waffles"
"7447","hygiene articles","candles","",""
"7448","whole milk","brown bread","bottled beer","newspapers"
"7449","citrus fruit","onions","beverages","margarine"
"7450","bottled beer","napkins","",""
"7451","tropical fruit","brown bread","pastry",""
"7452","sausage","hard cheese","rolls/buns","specialty fat"
"7453","mustard","long life bakery product","seasonal products","napkins"
"7454","dishes","","",""
"7455","whole milk","coffee","",""
"7456","soups","","",""
"7457","citrus fruit","pip fruit","root vegetables","whole milk"
"7458","oil","","",""
"7459","beef","root vegetables","other vegetables","frozen vegetables"
"7460","ice cream","rolls/buns","sugar",""
"7461","canned beer","","",""
"7462","tropical fruit","","",""
"7463","beverages","sauces","sweet spreads","pot plants"
"7464","canned beer","","",""
"7465","meat","pork","tropical fruit","root vegetables"
"7466","other vegetables","","",""
"7467","cream cheese ","rolls/buns","",""
"7468","meat","other vegetables","whole milk","rolls/buns"
"7469","shopping bags","","",""
"7470","sausage","tropical fruit","pip fruit","curd"
"7471","beverages","bottled beer","",""
"7472","frankfurter","sausage","tropical fruit","root vegetables"
"7473","whole milk","sliced cheese","frozen vegetables","mustard"
"7474","pickled vegetables","salty snack","",""
"7475","sausage","UHT-milk","bottled beer","kitchen towels"
"7476","whole milk","butter","sugar","bottled beer"
"7477","whole milk","soft cheese","sliced cheese","domestic eggs"
"7478","rolls/buns","","",""
"7479","frozen vegetables","frozen meals","",""
"7480","root vegetables","other vegetables","yogurt","flower (seeds)"
"7481","pip fruit","other vegetables","whole milk","yogurt"
"7482","pasta","oil","",""
"7483","bottled water","","",""
"7484","soda","","",""
"7485","liver loaf","chicken","other vegetables","frozen vegetables"
"7486","margarine","detergent","softener",""
"7487","citrus fruit","pip fruit","whole milk","cream cheese "
"7488","sweet spreads","long life bakery product","cake bar","napkins"
"7489","dish cleaner","","",""
"7490","citrus fruit","curd","UHT-milk",""
"7491","ham","whole milk","rolls/buns",""
"7492","hamburger meat","margarine","soda","bathroom cleaner"
"7493","pork","other vegetables","whole milk","frozen potato products"
"7494","flour","oil","",""
"7495","nuts/prunes","other vegetables","rum",""
"7496","canned beer","","",""
"7497","sausage","rolls/buns","",""
"7498","rolls/buns","canned beer","",""
"7499","sausage","soda","specialty chocolate",""
"7500","rolls/buns","Instant food products","",""
"7501","frozen vegetables","bottled water","",""
"7502","pip fruit","whole milk","white bread","brown bread"
"7503","margarine","sweet spreads","fruit/vegetable juice","newspapers"
"7504","whole milk","fruit/vegetable juice","",""
"7505","frankfurter","other vegetables","whipped/sour cream","specialty cheese"
"7506","domestic eggs","rolls/buns","hygiene articles","napkins"
"7507","other vegetables","soft cheese","",""
"7508","white bread","bottled beer","newspapers",""
"7509","citrus fruit","","",""
"7510","whole milk","rolls/buns","chewing gum",""
"7511","frankfurter","sausage","berries","butter"
"7512","yogurt","whipped/sour cream","cream cheese ","domestic eggs"
"7513","margarine","shopping bags","",""
"7514","beverages","chocolate","",""
"7515","red/blush wine","","",""
"7516","soda","","",""
"7517","sausage","yogurt","pastry","cat food"
"7518","finished products","candy","",""
"7519","pastry","oil","bottled beer","chocolate"
"7520","specialty chocolate","","",""
"7521","specialty chocolate","photo/film","",""
"7522","tropical fruit","pip fruit","root vegetables","liquor"
"7523","detergent","dishes","newspapers",""
"7524","bottled beer","white wine","",""
"7525","skin care","napkins","",""
"7526","condensed milk","rolls/buns","",""
"7527","root vegetables","canned beer","",""
"7528","pip fruit","whole milk","ready soups","canned fish"
"7529","soda","","",""
"7530","root vegetables","other vegetables","whole milk","soups"
"7531","bottled beer","","",""
"7532","sausage","whole milk","frozen vegetables","frozen meals"
"7533","domestic eggs","rolls/buns","fruit/vegetable juice","cake bar"
"7534","bottled beer","","",""
"7535","brown bread","canned beer","detergent","softener"
"7536","hard cheese","Instant food products","",""
"7537","soda","","",""
"7538","soda","bottled beer","liquor","red/blush wine"
"7539","napkins","","",""
"7540","whole milk","butter","cat food",""
"7541","frankfurter","rolls/buns","",""
"7542","tropical fruit","pip fruit","sugar","napkins"
"7543","cling film/bags","shopping bags","",""
"7544","liver loaf","root vegetables","onions","UHT-milk"
"7545","cream cheese ","soda","flower (seeds)",""
"7546","yogurt","fruit/vegetable juice","",""
"7547","soda","long life bakery product","",""
"7548","root vegetables","other vegetables","yogurt","baking powder"
"7549","brandy","shopping bags","",""
"7550","hamburger meat","tropical fruit","other vegetables","whole milk"
"7551","butter","yogurt","whipped/sour cream","hard cheese"
"7552","white bread","Instant food products","tea","soda"
"7553","bottled beer","specialty bar","",""
"7554","pip fruit","butter milk","soda",""
"7555","bottled beer","","",""
"7556","pip fruit","soda","chewing gum",""
"7557","tropical fruit","butter","rolls/buns","canned fish"
"7558","dog food","shopping bags","",""
"7559","dessert","waffles","",""
"7560","whole milk","rolls/buns","pastry","newspapers"
"7561","liver loaf","root vegetables","other vegetables","whole milk"
"7562","frozen vegetables","margarine","",""
"7563","frankfurter","whole milk","rolls/buns","salt"
"7564","dessert","","",""
"7565","root vegetables","other vegetables","whole milk","frozen fish"
"7566","honey","Instant food products","canned fish","dishes"
"7567","cream cheese ","instant coffee","salty snack","waffles"
"7568","kitchen towels","shopping bags","",""
"7569","canned beer","","",""
"7570","whole milk","pastry","",""
"7571","rolls/buns","dishes","",""
"7572","canned beer","","",""
"7573","sausage","yogurt","rolls/buns",""
"7574","canned beer","","",""
"7575","liquor","","",""
"7576","yogurt","","",""
"7577","soups","canned vegetables","chocolate",""
"7578","whole milk","yogurt","cream cheese ","rolls/buns"
"7579","roll products ","chocolate","",""
"7580","sausage","pickled vegetables","soda","skin care"
"7581","shopping bags","","",""
"7582","rolls/buns","pastry","sugar",""
"7583","pork","pip fruit","packaged fruit/vegetables","dessert"
"7584","frozen vegetables","pasta","margarine","chocolate marshmallow"
"7585","detergent","softener","",""
"7586","curd","soda","cake bar",""
"7587","rolls/buns","coffee","",""
"7588","frankfurter","whole milk","butter","dessert"
"7589","bottled water","","",""
"7590","soda","","",""
"7591","meat","frozen meals","fruit/vegetable juice",""
"7592","turkey","tropical fruit","yogurt","rolls/buns"
"7593","coffee","","",""
"7594","rolls/buns","red/blush wine","",""
"7595","citrus fruit","specialty fat","",""
"7596","canned beer","","",""
"7597","pastry","","",""
"7598","frozen meals","","",""
"7599","whipped/sour cream","frozen vegetables","frozen meals",""
"7600","rolls/buns","brown bread","",""
"7601","soda","bottled beer","liquor","red/blush wine"
"7602","spread cheese","white bread","newspapers",""
"7603","whole milk","curd","dessert","misc. beverages"
"7604","chocolate marshmallow","cling film/bags","house keeping products","newspapers"
"7605","root vegetables","soft cheese","",""
"7606","frankfurter","butter","brown bread",""
"7607","bottled beer","liquor","",""
"7608","soda","","",""
"7609","other vegetables","whole milk","dessert","sliced cheese"
"7610","hard cheese","oil","coffee","soda"
"7611","fruit/vegetable juice","seasonal products","",""
"7612","curd","yogurt","",""
"7613","pip fruit","soda","",""
"7614","instant coffee","photo/film","",""
"7615","frankfurter","","",""
"7616","beef","yogurt","cream cheese ","frozen meals"
"7617","cat food","newspapers","",""
"7618","curd","UHT-milk","bottled water",""
"7619","hamburger meat","whole milk","curd","dessert"
"7620","rolls/buns","oil","spices","sauces"
"7621","soda","cake bar","napkins","shopping bags"
"7622","citrus fruit","root vegetables","onions","whole milk"
"7623","brown bread","","",""
"7624","rolls/buns","soda","chewing gum",""
"7625","bottled beer","","",""
"7626","pork","tropical fruit","",""
"7627","cream cheese ","ice cream","pastry","specialty chocolate"
"7628","rubbing alcohol","","",""
"7629","tropical fruit","pip fruit","whole milk","pastry"
"7630","beverages","","",""
"7631","pork","root vegetables","brown bread","pastry"
"7632","sausage","pork","whole milk","pastry"
"7633","yogurt","canned beer","dishes",""
"7634","meat","finished products","other vegetables","rolls/buns"
"7635","brown bread","soda","white wine",""
"7636","tropical fruit","brown bread","specialty bar",""
"7637","hamburger meat","other vegetables","whole milk","cream"
"7638","oil","sugar","baking powder","canned beer"
"7639","baby cosmetics","","",""
"7640","root vegetables","other vegetables","yogurt","rolls/buns"
"7641","bottled water","chocolate","napkins",""
"7642","chicken","whole milk","whipped/sour cream","rolls/buns"
"7643","white bread","fruit/vegetable juice","popcorn","photo/film"
"7644","dessert","brown bread","",""
"7645","coffee","","",""
"7646","pip fruit","condensed milk","sugar","coffee"
"7647","bottled water","long life bakery product","",""
"7648","sausage","other vegetables","salt","male cosmetics"
"7649","newspapers","","",""
"7650","sausage","other vegetables","whole milk","yogurt"
"7651","soda","","",""
"7652","whole milk","butter milk","yogurt","rolls/buns"
"7653","white bread","mustard","pickled vegetables","sweet spreads"
"7654","canned fish","soda","misc. beverages","long life bakery product"
"7655","specialty chocolate","shopping bags","",""
"7656","citrus fruit","misc. beverages","",""
"7657","bottled water","","",""
"7658","pastry","","",""
"7659","sausage","rolls/buns","newspapers","shopping bags"
"7660","sausage","soft cheese","bottled beer",""
"7661","whole milk","rolls/buns","syrup",""
"7662","liver loaf","whole milk","yogurt","condensed milk"
"7663","specialty cheese","white bread","",""
"7664","bottled water","","",""
"7665","beef","","",""
"7666","pet care","bottled beer","",""
"7667","meat","citrus fruit","pip fruit","root vegetables"
"7668","bottled water","","",""
"7669","cookware","","",""
"7670","bottled beer","","",""
"7671","whole milk","processed cheese","spread cheese","rolls/buns"
"7672","frozen meals","white bread","fruit/vegetable juice",""
"7673","dessert","yogurt","cat food","napkins"
"7674","grapes","other vegetables","soda","canned beer"
"7675","rolls/buns","sugar","coffee","soda"
"7676","sausage","meat","pip fruit","other vegetables"
"7677","salty snack","napkins","",""
"7678","sausage","beverages","rolls/buns",""
"7679","butter","napkins","",""
"7680","chicken","fruit/vegetable juice","long life bakery product",""
"7681","whole milk","bottled water","rum","waffles"
"7682","rolls/buns","","",""
"7683","rolls/buns","soda","snack products",""
"7684","citrus fruit","berries","yogurt","bottled water"
"7685","soda","fruit/vegetable juice","chocolate","specialty bar"
"7686","shopping bags","","",""
"7687","rolls/buns","pastry","coffee",""
"7688","pasta","sauces","",""
"7689","sausage","pork","sliced cheese","frozen potato products"
"7690","white bread","soda","waffles",""
"7691","tropical fruit","pip fruit","grapes","packaged fruit/vegetables"
"7692","coffee","","",""
"7693","waffles","chocolate","specialty chocolate",""
"7694","citrus fruit","tropical fruit","baking powder","fruit/vegetable juice"
"7695","waffles","specialty bar","candles","flower (seeds)"
"7696","pasta","specialty chocolate","dishes",""
"7697","semi-finished bread","bottled beer","liquor",""
"7698","beef","spread cheese","domestic eggs","cat food"
"7699","white wine","shopping bags","",""
"7700","whole milk","","",""
"7701","candy","","",""
"7702","bottled water","","",""
"7703","whole milk","white bread","pet care","bottled water"
"7704","softener","","",""
"7705","bottled beer","","",""
"7706","yogurt","frozen dessert","",""
"7707","whole milk","coffee","cooking chocolate","newspapers"
"7708","sausage","ham","soft cheese","hard cheese"
"7709","coffee","soda","long life bakery product","chocolate"
"7710","other vegetables","UHT-milk","semi-finished bread","margarine"
"7711","canned vegetables","bottled water","cake bar","shopping bags"
"7712","tropical fruit","yogurt","beverages",""
"7713","coffee","sparkling wine","dish cleaner",""
"7714","root vegetables","brown bread","mustard","cat food"
"7715","canned beer","","",""
"7716","frankfurter","pork","other vegetables","whole milk"
"7717","butter","brown bread","semi-finished bread","pet care"
"7718","canned beer","waffles","hygiene articles","newspapers"
"7719","ham","dessert","yogurt","processed cheese"
"7720","soda","","",""
"7721","pip fruit","whole milk","beverages","domestic eggs"
"7722","white bread","","",""
"7723","yogurt","sugar","shopping bags",""
"7724","meat","whole milk","rolls/buns",""
"7725","soda","bathroom cleaner","",""
"7726","pork","onions","domestic eggs","pastry"
"7727","soda","shopping bags","",""
"7728","whole milk","frozen vegetables","",""
"7729","bottled beer","","",""
"7730","bottled water","","",""
"7731","specialty bar","house keeping products","",""
"7732","berries","yogurt","whipped/sour cream",""
"7733","dessert","soda","",""
"7734","ham","onions","herbs","sparkling wine"
"7735","pork","tropical fruit","hard cheese","margarine"
"7736","soda","bottled beer","napkins",""
"7737","cat food","white wine","",""
"7738","whole milk","brown bread","margarine","soda"
"7739","bottled beer","","",""
"7740","margarine","fruit/vegetable juice","red/blush wine",""
"7741","whole milk","","",""
"7742","whole milk","dessert","coffee","bottled water"
"7743","other vegetables","rolls/buns","hair spray",""
"7744","domestic eggs","","",""
"7745","canned beer","","",""
"7746","sausage","white wine","napkins",""
"7747","butter milk","ice cream","coffee","bottled water"
"7748","fruit/vegetable juice","hygiene articles","shopping bags",""
"7749","ham","root vegetables","whipped/sour cream","ketchup"
"7750","whole milk","","",""
"7751","other vegetables","butter milk","frozen meals","ice cream"
"7752","pastry","","",""
"7753","sausage","frozen vegetables","rolls/buns","soda"
"7754","red/blush wine","","",""
"7755","bottled beer","","",""
"7756","misc. beverages","napkins","",""
"7757","brown bread","","",""
"7758","whipped/sour cream","margarine","long life bakery product",""
"7759","tropical fruit","whipped/sour cream","jam",""
"7760","citrus fruit","pip fruit","",""
"7761","pip fruit","soda","sparkling wine",""
"7762","waffles","specialty bar","",""
"7763","tropical fruit","other vegetables","whole milk","brown bread"
"7764","margarine","sauces","sweet spreads","waffles"
"7765","frankfurter","citrus fruit","pip fruit","butter milk"
"7766","beverages","frozen meals","brown bread","pickled vegetables"
"7767","shopping bags","","",""
"7768","sausage","rolls/buns","sugar","bottled water"
"7769","soda","fruit/vegetable juice","white wine","male cosmetics"
"7770","frankfurter","sausage","curd","processed cheese"
"7771","soda","canned beer","",""
"7772","curd","coffee","bottled beer",""
"7773","meat","citrus fruit","yogurt","brown bread"
"7774","cat food","bottled water","chocolate","napkins"
"7775","other vegetables","whole milk","frozen potato products","white bread"
"7776","pastry","soda","fruit/vegetable juice","specialty bar"
"7777","whole milk","","",""
"7778","domestic eggs","","",""
"7779","pip fruit","whipped/sour cream","",""
"7780","other vegetables","whole milk","mustard","prosecco"
"7781","specialty chocolate","female sanitary products","",""
"7782","sausage","other vegetables","dessert","yogurt"
"7783","condensed milk","hard cheese","spread cheese","bottled water"
"7784","fruit/vegetable juice","shopping bags","",""
"7785","salty snack","","",""
"7786","margarine","candy","",""
"7787","whole milk","rolls/buns","salt",""
"7788","frankfurter","sausage","other vegetables","white bread"
"7789","pickled vegetables","waffles","shopping bags",""
"7790","whole milk","","",""
"7791","whole milk","soft cheese","sliced cheese",""
"7792","brown bread","soda","canned beer","napkins"
"7793","shopping bags","","",""
"7794","oil","soda","misc. beverages","canned beer"
"7795","brandy","salty snack","candy","hygiene articles"
"7796","shopping bags","","",""
"7797","liquor (appetizer)","","",""
"7798","rolls/buns","meat spreads","",""
"7799","bottled water","","",""
"7800","citrus fruit","pip fruit","root vegetables","whole milk"
"7801","coffee","popcorn","chewing gum","detergent"
"7802","newspapers","shopping bags","",""
"7803","citrus fruit","root vegetables","margarine","cat food"
"7804","shopping bags","","",""
"7805","whole milk","dessert","butter milk","yogurt"
"7806","pastry","margarine","bottled water","soda"
"7807","frankfurter","beef","fish","root vegetables"
"7808","whole milk","butter","yogurt","rolls/buns"
"7809","roll products ","","",""
"7810","soda","","",""
"7811","meat","other vegetables","",""
"7812","sausage","beverages","sliced cheese","rolls/buns"
"7813","soda","shopping bags","",""
"7814","sausage","meat","dessert","rolls/buns"
"7815","instant coffee","soda","canned beer",""
"7816","chocolate","","",""
"7817","canned beer","","",""
"7818","bottled beer","newspapers","",""
"7819","liver loaf","root vegetables","other vegetables","processed cheese"
"7820","pastry","sugar","detergent",""
"7821","pastry","long life bakery product","",""
"7822","beef","hamburger meat","other vegetables","rolls/buns"
"7823","sugar","white wine","hygiene articles","newspapers"
"7824","canned beer","newspapers","",""
"7825","newspapers","","",""
"7826","sausage","rolls/buns","",""
"7827","citrus fruit","pip fruit","root vegetables","UHT-milk"
"7828","coffee","candles","",""
"7829","canned beer","","",""
"7830","frankfurter","meat","root vegetables","onions"
"7831","other vegetables","whole milk","yogurt","UHT-milk"
"7832","rolls/buns","oil","mustard","canned fish"
"7833","coffee","newspapers","shopping bags",""
"7834","rolls/buns","brown bread","",""
"7835","canned beer","","",""
"7836","frankfurter","whole milk","rolls/buns","newspapers"
"7837","frankfurter","sausage","meat","tropical fruit"
"7838","brown bread","bottled water","nut snack",""
"7839","soda","bottled beer","",""
"7840","meat","chicken","root vegetables","onions"
"7841","whole milk","soda","",""
"7842","white wine","","",""
"7843","sausage","other vegetables","",""
"7844","brown bread","pasta","oil","margarine"
"7845","soda","newspapers","",""
"7846","frozen fruits","soda","specialty bar",""
"7847","hard cheese","pasta","soda","waffles"
"7848","dessert","yogurt","",""
"7849","coffee","","",""
"7850","other vegetables","condensed milk","soda",""
"7851","frankfurter","sausage","whole milk","butter milk"
"7852","yogurt","sliced cheese","hard cheese","rolls/buns"
"7853","pastry","pickled vegetables","newspapers",""
"7854","pork","whole milk","pasta","fruit/vegetable juice"
"7855","yogurt","rolls/buns","",""
"7856","beef","citrus fruit","root vegetables","yogurt"
"7857","whipped/sour cream","brown bread","napkins","newspapers"
"7858","ham","sliced cheese","",""
"7859","frankfurter","tropical fruit","other vegetables","rolls/buns"
"7860","bottled water","soda","fruit/vegetable juice","salty snack"
"7861","waffles","","",""
"7862","hamburger meat","other vegetables","pickled vegetables",""
"7863","white wine","","",""
"7864","packaged fruit/vegetables","pastry","",""
"7865","specialty bar","","",""
"7866","cat food","misc. beverages","female sanitary products",""
"7867","finished products","turkey","grapes","onions"
"7868","other vegetables","whole milk","butter milk","yogurt"
"7869","whipped/sour cream","hard cheese","frozen vegetables","fruit/vegetable juice"
"7870","napkins","","",""
"7871","pork","beef","pip fruit","root vegetables"
"7872","whole milk","rice","newspapers",""
"7873","pork","tropical fruit","yogurt","frozen vegetables"
"7874","rolls/buns","margarine","spices",""
"7875","root vegetables","herbs","other vegetables",""
"7876","tropical fruit","rolls/buns","misc. beverages",""
"7877","pork","whole milk","rolls/buns","detergent"
"7878","hygiene articles","napkins","",""
"7879","bottled beer","","",""
"7880","whole milk","white bread","",""
"7881","butter milk","","",""
"7882","sausage","meat","rolls/buns","brown bread"
"7883","meat spreads","soda","canned beer","shopping bags"
"7884","whole milk","butter","sugar",""
"7885","whole milk","bottled water","soda","chewing gum"
"7886","misc. beverages","","",""
"7887","waffles","","",""
"7888","hamburger meat","whipped/sour cream","cream cheese ","rolls/buns"
"7889","pasta","canned fish","popcorn",""
"7890","white wine","","",""
"7891","canned beer","","",""
"7892","frankfurter","chicken","hamburger meat","other vegetables"
"7893","dessert","UHT-milk","oil","canned vegetables"
"7894","cake bar","","",""
"7895","root vegetables","dog food","bottled water",""
"7896","ice cream","sparkling wine","",""
"7897","processed cheese","soda","bottled beer","liquor"
"7898","red/blush wine","napkins","",""
"7899","tropical fruit","seasonal products","",""
"7900","ham","citrus fruit","tropical fruit","pip fruit"
"7901","processed cheese","white bread","shopping bags",""
"7902","sausage","hamburger meat","pip fruit","root vegetables"
"7903","whole milk","chocolate","",""
"7904","other vegetables","","",""
"7905","coffee","","",""
"7906","pip fruit","other vegetables","butter milk","hard cheese"
"7907","rolls/buns","seasonal products","napkins",""
"7908","whole milk","butter","soda","chocolate"
"7909","soda","waffles","",""
"7910","whole milk","","",""
"7911","beverages","photo/film","",""
"7912","hygiene articles","photo/film","",""
"7913","pork","other vegetables","whole milk","rolls/buns"
"7914","semi-finished bread","artif. sweetener","fruit/vegetable juice","cake bar"
"7915","specialty bar","skin care","",""
"7916","salty snack","","",""
"7917","pip fruit","canned beer","shopping bags",""
"7918","dessert","spread cheese","rolls/buns","brown bread"
"7919","soda","canned beer","newspapers",""
"7920","white wine","","",""
"7921","instant coffee","canned beer","",""
"7922","pastry","bottled water","specialty chocolate",""
"7923","canned beer","","",""
"7924","sausage","meat","bottled water",""
"7925","rolls/buns","pickled vegetables","",""
"7926","dog food","canned beer","",""
"7927","chicken","root vegetables","whole milk","rolls/buns"
"7928","pasta","newspapers","",""
"7929","soda","","",""
"7930","instant coffee","long life bakery product","",""
"7931","whole milk","sugar","bottled water","bottled beer"
"7932","citrus fruit","tropical fruit","root vegetables","other vegetables"
"7933","whole milk","butter","yogurt","soft cheese"
"7934","cream cheese ","domestic eggs","white bread","margarine"
"7935","coffee","waffles","specialty bar","chocolate marshmallow"
"7936","liver loaf","tropical fruit","other vegetables",""
"7937","sausage","whole milk","",""
"7938","finished products","beef","pip fruit","root vegetables"
"7939","bottled water","shopping bags","",""
"7940","canned beer","","",""
"7941","ham","processed cheese","rolls/buns","white bread"
"7942","fruit/vegetable juice","canned beer","long life bakery product","waffles"
"7943","chocolate","specialty bar","",""
"7944","soda","","",""
"7945","pastry","semi-finished bread","coffee","bottled water"
"7946","misc. beverages","","",""
"7947","tropical fruit","pip fruit","grapes","semi-finished bread"
"7948","bottled water","soda","chewing gum",""
"7949","citrus fruit","tropical fruit","yogurt","UHT-milk"
"7950","pastry","","",""
"7951","pip fruit","","",""
"7952","yogurt","","",""
"7953","root vegetables","whole milk","hard cheese","specialty cheese"
"7954","waffles","specialty chocolate","",""
"7955","sausage","whole milk","yogurt","whipped/sour cream"
"7956","pastry","fruit/vegetable juice","candy",""
"7957","soda","","",""
"7958","soda","specialty bar","",""
"7959","whole milk","","",""
"7960","sausage","tropical fruit","root vegetables","onions"
"7961","other vegetables","whole milk","white bread","chewing gum"
"7962","sausage","meat","yogurt",""
"7963","whole milk","margarine","soda",""
"7964","pork","citrus fruit","other vegetables","dessert"
"7965","yogurt","","",""
"7966","whole milk","domestic eggs","rolls/buns","fruit/vegetable juice"
"7967","whole milk","brown bread","",""
"7968","rolls/buns","pastry","mustard","soda"
"7969","cake bar","","",""
"7970","whole milk","bottled beer","",""
"7971","whisky","","",""
"7972","newspapers","","",""
"7973","rubbing alcohol","","",""
"7974","ham","tropical fruit","other vegetables","whole milk"
"7975","yogurt","curd cheese","rolls/buns","flour"
"7976","margarine","hygiene articles","shopping bags",""
"7977","sausage","butter","hard cheese","domestic eggs"
"7978","bottled beer","","",""
"7979","pork","tropical fruit","whole milk","domestic eggs"
"7980","specialty chocolate","","",""
"7981","frankfurter","tropical fruit","root vegetables","whole milk"
"7982","sugar","mustard","popcorn",""
"7983","nut snack","","",""
"7984","bottled beer","","",""
"7985","misc. beverages","","",""
"7986","pork","soda","fruit/vegetable juice","bottled beer"
"7987","liquor","","",""
"7988","whole milk","frozen meals","bottled water",""
"7989","chocolate","","",""
"7990","root vegetables","herbs","other vegetables","cream cheese "
"7991","frozen vegetables","jam","canned fish","coffee"
"7992","waffles","","",""
"7993","citrus fruit","root vegetables","frozen vegetables","chewing gum"
"7994","pork","root vegetables","",""
"7995","dish cleaner","shopping bags","",""
"7996","rolls/buns","","",""
"7997","rolls/buns","soda","",""
"7998","chicken","red/blush wine","",""
"7999","pork","whole milk","shopping bags",""
"8000","beverages","rolls/buns","soda","seasonal products"
"8001","soda","","",""
"8002","sausage","whole milk","",""
"8003","frankfurter","meat","butter milk","tidbits"
"8004","domestic eggs","brown bread","sugar","pickled vegetables"
"8005","whole milk","newspapers","",""
"8006","bottled beer","","",""
"8007","chocolate","","",""
"8008","meat","curd","whipped/sour cream","roll products "
"8009","beef","hamburger meat","root vegetables","other vegetables"
"8010","butter","curd","dessert","yogurt"
"8011","cream cheese ","frozen meals","pastry","potato products"
"8012","Instant food products","soda","napkins","house keeping products"
"8013","newspapers","","",""
"8014","pip fruit","soda","canned beer",""
"8015","whole milk","","",""
"8016","bottled beer","liquor","",""
"8017","other vegetables","whipped/sour cream","rolls/buns","waffles"
"8018","hygiene articles","newspapers","",""
"8019","soda","chewing gum","",""
"8020","UHT-milk","","",""
"8021","pip fruit","whipped/sour cream","hard cheese","bottled water"
"8022","fruit/vegetable juice","","",""
"8023","citrus fruit","other vegetables","whole milk","butter"
"8024","oil","detergent","",""
"8025","meat","rolls/buns","white bread","semi-finished bread"
"8026","flour","meat spreads","",""
"8027","chicken","candy","",""
"8028","zwieback","bottled beer","hygiene articles",""
"8029","other vegetables","rolls/buns","",""
"8030","sausage","chocolate","",""
"8031","packaged fruit/vegetables","","",""
"8032","yogurt","","",""
"8033","pork","other vegetables","UHT-milk",""
"8034","ice cream","rolls/buns","chocolate",""
"8035","beef","","",""
"8036","bottled beer","","",""
"8037","soda","","",""
"8038","meat","citrus fruit","tropical fruit","root vegetables"
"8039","other vegetables","whole milk","butter","yogurt"
"8040","sliced cheese","frozen vegetables","rice","Instant food products"
"8041","baking powder","bottled water","syrup","female sanitary products"
"8042","photo/film","","",""
"8043","fish","specialty chocolate","",""
"8044","tropical fruit","whole milk","butter","syrup"
"8045","tropical fruit","whole milk","domestic eggs","rolls/buns"
"8046","pet care","bottled water","hygiene articles",""
"8047","frozen vegetables","frozen dessert","semi-finished bread","margarine"
"8048","long life bakery product","candy","detergent",""
"8049","other vegetables","canned beer","",""
"8050","root vegetables","herbs","other vegetables","whole milk"
"8051","yogurt","whipped/sour cream","frozen vegetables","frozen fruits"
"8052","baking powder","pickled vegetables","fruit/vegetable juice","sparkling wine"
"8053","long life bakery product","shopping bags","",""
"8054","fish","frozen meals","domestic eggs","bottled beer"
"8055","liquor (appetizer)","dishes","newspapers",""
"8056","UHT-milk","canned fish","",""
"8057","berries","oil","bottled water","cake bar"
"8058","house keeping products","shopping bags","",""
"8059","condensed milk","","",""
"8060","salt","margarine","canned beer",""
"8061","canned beer","long life bakery product","",""
"8062","pip fruit","root vegetables","frozen vegetables","frozen potato products"
"8063","pastry","fruit/vegetable juice","napkins","bags"
"8064","sausage","","",""
"8065","sausage","frozen potato products","",""
"8066","frozen meals","soda","specialty chocolate",""
"8067","berries","brown bread","",""
"8068","liquor","napkins","",""
"8069","yogurt","beverages","soda","shopping bags"
"8070","yogurt","","",""
"8071","citrus fruit","tropical fruit","pip fruit","condensed milk"
"8072","frozen meals","meat spreads","canned fish","coffee"
"8073","canned beer","salty snack","cling film/bags","kitchen towels"
"8074","shopping bags","","",""
"8075","brown bread","seasonal products","",""
"8076","ham","onions","whipped/sour cream","hard cheese"
"8077","bottled beer","hygiene articles","shopping bags",""
"8078","domestic eggs","waffles","napkins",""
"8079","tropical fruit","yogurt","UHT-milk","cream cheese "
"8080","processed cheese","white bread","sugar",""
"8081","rolls/buns","white bread","",""
"8082","pip fruit","bottled water","",""
"8083","tropical fruit","yogurt","salt","specialty vegetables"
"8084","bottled beer","","",""
"8085","photo/film","","",""
"8086","bottled beer","prosecco","",""
"8087","whole milk","fruit/vegetable juice","chewing gum","shopping bags"
"8088","chicken","tropical fruit","domestic eggs","white wine"
"8089","canned beer","","",""
"8090","onions","whole milk","",""
"8091","other vegetables","dessert","white bread","dog food"
"8092","flower soil/fertilizer","","",""
"8093","frankfurter","tropical fruit","other vegetables","whole milk"
"8094","butter","frozen meals","fruit/vegetable juice",""
"8095","other vegetables","whole milk","",""
"8096","white wine","","",""
"8097","other vegetables","cream cheese ","",""
"8098","canned beer","","",""
